Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
2045551103,"Dec 31, 2018, 12:44:54 AM",To Crocker before it gets dark ,Run,,2036,4.91,,,false,,,activities/2045551103.gpx,0.0,,2036.0,1952.0,4918.5,4.2,,75.3,,22.4,70.2,18.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/882B05AA-D9A7-4C95-A980-2F2E346F444C.jpg
2054221337,"Jan 4, 2019, 1:25:53 AM",Inner Richmond ,Run,,1650,3.86,,,false,,,,0.0,,1650.0,1650.0,3862.4,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2071570541,"Jan 11, 2019, 6:25:54 PM",UCSB day 1,Walk,,3600,4.82,,,false,,,,0.0,,3600.0,3600.0,4828.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/39C82740-8CD2-4CD3-B1AE-E2FFFEFE5C09.jpg
2090345864,"Jan 19, 2019, 11:24:21 PM",Presidio with trail and part crissy field ,Run,Alta Plaza is nice. The Presidio trail is nice but cars and hills aren’t. ,4742,8.25,,,false,,,activities/2090345864.gpx,0.0,,4742.0,3491.0,8257.1,4.8,,230.2,,3.0,114.2,46.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/B7A98773-3F16-4188-A36D-E546F9AD0AED.jpg
2108442544,"Jan 28, 2019, 5:32:18 AM",Presidio/Marina,Run,,3900,8.85,,,false,,,,0.0,,3900.0,3900.0,8851.4,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/332D8A11-3609-4A72-B165-91C14CC661B3.jpg|media/9FFE203D-51E9-4C50-9675-5A564088F58C.jpg
2173621810,"Feb 25, 2019, 12:18:43 AM",First Sunday runday of February fml,Run,,4939,11.49,,,false,,,activities/2173621810.gpx,0.0,,4939.0,4584.0,11493.3,4.7,,118.1,,2.0,105.9,49.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/976981A4-341D-4775-B0C6-5A78C1F621D0.jpg|media/A01BBCA0-F427-4920-A3D3-90B675FAB2F3.jpg|media/F9EE6DAD-CEA9-4694-8F0A-818B7A54011B.jpg
2189043054,"Mar 3, 2019, 4:00:29 PM",Chinatown 10k 2019,Run,,3985,10.40,,,false,,,activities/2189043054.gpx,0.0,,3985.0,3957.0,10405.4,6.1,,77.6,,2.8,32.6,16.6,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,10556.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2205179563,"Mar 10, 2019, 8:52:06 PM","Presidio and marina, no crissy field ",Run,,3196,7.46,,,false,,,activities/2205179563.gpx,0.0,,3196.0,3026.0,7464.7,4.5,,89.9,,2.5,107.0,30.8,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2217976166,"Mar 16, 2019, 7:32:06 PM",Quick,Run,,1934,4.60,,,false,,,activities/2217976166.gpx,0.0,,1934.0,1852.0,4602.6,3.8,,66.7,,61.3,105.0,28.1,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2308722995,"Apr 21, 2019, 11:07:45 PM",Presidio and marina and Octavia ,Run,,3447,7.62,,,false,,,activities/2308722995.gpx,0.0,,3447.0,3125.0,7622.1,4.6,,137.4,,2.5,105.1,34.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,8132.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2475309987,"Jun 15, 2019, 7:41:24 PM",Lunch Run,Run,,2153,4.02,,,false,,,activities/2475309987.gpx,0.0,,2153.0,1698.0,4027.1,4.5,,107.6,,61.3,104.4,23.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
