Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
213618132,Good Dirt,Charmaine Wilkerson,"Wilkerson, Charmaine",,"=""0593358368""","=""9780593358368""",0,4.00,Ballantine Books,Hardcover,368,2025,2025,,2025/12/02,to-read,to-read (#5282),to-read,,,,0,0
214152244,The Three Lives of Cate Kay,Kate Fagan,"Fagan, Kate",,"=""""","=""""",0,3.74,Atria Books,Hardcover,294,2025,2025,,2025/12/02,currently-reading,currently-reading (#5),currently-reading,,,,1,0
211642122,Immortal,Sue Lynn Tan,"Tan, Sue Lynn",,"=""0063267616""","=""9780063267619""",0,3.82,Harper Voyager,Hardcover,464,2025,2025,,2025/12/02,currently-reading,currently-reading (#4),currently-reading,,,,1,0
215805887,The Martha's Vineyard Beach and Book Club,Martha Hall Kelly,"Kelly, Martha Hall",,"=""0593354915""","=""9780593354919""",0,3.99,Ballantine Books,Hardcover,336,2025,2025,,2025/11/18,currently-reading,currently-reading (#3),currently-reading,,,,1,0
37504654,The Masterpiece,Fiona  Davis,"Davis, Fiona",,"=""1524742953""","=""9781524742959""",4,3.87,Dutton,Hardcover,368,2018,2018,2025/12/02,2018/07/12,,,read,,,,1,0
240019702,You Won't Forget Me,Mazey Eddings,"Eddings, Mazey",,"=""1250343844""","=""9781250343840""",0,4.00,St. Martin's Griffin,Paperback,336,2026,,,2025/12/02,to-read,to-read (#5281),to-read,,,,0,0
227828288,The World at Home,Ginny Kubitz Moyer,"Moyer, Ginny Kubitz",,"=""""","=""9798896360186""",0,4.53,She Writes Press,Paperback,344,2025,,,2025/12/01,to-read,to-read (#5280),to-read,,,,0,0
211003830,The Queens of Crime,Marie Benedict,"Benedict, Marie",,"=""1250280753""","=""9781250280756""",0,3.81,St. Martin's Press,Hardcover,310,2025,2025,,2025/12/01,to-read,to-read (#5279),to-read,,,,0,0
228808040,By Your Side,Kasie West,"West, Kasie",,"=""0063471493""","=""9780063471498""",0,3.86,HarperCollins,Paperback,352,2025,2017,,2025/12/01,to-read,to-read (#5278),to-read,,,,0,0
188201,Comfort & Joy,Kristin Hannah,"Hannah, Kristin",,"=""0345483790""","=""9780345483799""",2,3.57,Ballantine Books,Mass Market Paperback,272,2006,2005,2025/11/30,2025/11/29,,,read,"Kristin Hannah, what is this? I know it's one of her earlier books, but still. It's pretty much a Hallmark Christmas movie in a book--and it makes her seem religious (which is fine, just the names of characters and cities and how things wrap up...it's a lot)",,,1,0
228646238,The Sacred Space Between,Kalie Reid,"Reid, Kalie",,"=""0316596132""","=""9780316596138""",0,4.00,"Little, Brown and Company",Paperback,432,2025,2025,,2025/11/29,to-read,to-read (#5277),to-read,,,,0,0
216594948,A First Time for Everything (Deluxe Edition),K.L. Walther,"Walther, K.L.",,"=""172826314X""","=""9781728263144""",4,3.83,Sourcebooks Fire,Paperback,416,2025,2025,,2025/11/28,,,read,,,,3,0
40494228,"The Matrimonial Advertisement (Parish Orphans of Devon, #1)",Mimi Matthews,"Matthews, Mimi",,"=""0999036440""","=""9780999036440""",0,4.05,Perfectly Proper Press,Kindle Edition,348,2018,2018,,2025/11/28,to-read,to-read (#5276),to-read,,,,0,0
62342354,"Rules for Ruin (The Crinoline Academy, #1)",Mimi Matthews,"Matthews, Mimi",,"=""0593639294""","=""9780593639290""",0,4.04,Berkley,Paperback,400,2025,2025,,2025/11/28,to-read,to-read (#5275),to-read,,,,0,0
215362651,Dream State,Eric Puchner,"Puchner, Eric",,"=""0385550669""","=""9780385550666""",4,3.60,Doubleday,Hardcover,448,2025,2025,,2025/11/25,,,read,"Very good. Thoughtful, some plot twists, some humor at times despite sadness too. Some of the time jumps confused me. ",,,2,0
231442699,"The Once and Future Queen (The Lives of Guinevere, #1)",Paula Lafferty,"Lafferty, Paula",,"=""1645662896""","=""9781645662891""",0,4.42,Erewhon Books,Hardcover,512,2025,2024,,2025/11/28,to-read,to-read (#5274),to-read,,,,0,0
223319316,Every Day I Read: 53 Ways to Get Closer to Books,Hwang Bo-Reum,"Bo-Reum, Hwang",Shanna Tan,"=""1639737790""","=""9781639737796""",0,4.19,Bloomsbury Publishing,Hardcover,240,2025,2021,,2025/11/26,to-read,to-read (#5273),to-read,,,,0,0
224004229,"The Rebel and the Rose (The City of Fantome, #2)",Catherine Doyle,"Doyle, Catherine",,"=""1665955147""","=""9781665955140""",0,4.18,Margaret K. McElderry Books,Hardcover,528,2025,2025,,2025/11/26,to-read,to-read (#5272),to-read,,,,0,0
231439951,The Once and Future Queen (The Lives of Guinevere),Paula Lafferty,"Lafferty, Paula",,"=""1645662926""","=""9781645662921""",0,4.42,Erewhon Books,Kindle Edition,571,2025,2024,,2025/11/26,to-read,to-read (#5271),to-read,,,,0,0
223421690,The Library of Fates,Margot Harrison,"Harrison, Margot",,"=""1525804316""","=""9781525804311""",0,4.03,Graydon House,Hardcover,320,2025,2025,,2025/11/26,to-read,to-read (#5270),to-read,,,,0,0
